Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
14146;112.0318;90.3145;6919.920;0.000;0.0000;0.0000;0.000;3.9135;0.576369;-0.570530;-0.411805;0.415586;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.340;True;;
14147;112.0319;90.3145;6919.923;0.000;0.0000;0.0000;0.000;3.9129;0.576374;-0.570528;-0.411801;0.415584;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.350;True;;
14148;112.0320;90.3145;6919.924;0.000;0.0000;0.0000;0.000;3.9141;0.576371;-0.570523;-0.411807;0.415590;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.360;True;;
14149;112.0322;90.3145;6919.925;0.000;0.0000;0.0000;0.000;3.9138;0.576372;-0.570524;-0.411804;0.415590;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.370;True;;
14150;112.0323;90.3145;6919.925;0.000;0.0000;0.0000;0.000;3.9143;0.576370;-0.570524;-0.411807;0.415590;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.380;True;;
14151;112.0324;90.3145;6919.923;0.000;0.0000;0.0000;0.000;3.9136;0.576371;-0.570531;-0.411804;0.415581;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.390;True;;
14152;112.0325;90.3145;6919.925;0.000;0.0000;0.0000;0.000;3.9138;0.576373;-0.570528;-0.411804;0.415583;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.400;True;;
14153;112.0326;90.3145;6919.928;0.000;0.0000;0.0000;0.000;3.9143;0.576374;-0.570522;-0.411806;0.415588;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.410;True;;
14154;112.0327;90.3145;6919.929;0.000;0.0000;0.0000;0.000;3.9147;0.576373;-0.570520;-0.411807;0.415592;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.420;True;;
14155;112.0328;90.3145;6919.930;0.000;0.0000;0.0000;0.000;3.9126;0.576382;-0.570528;-0.411796;0.415578;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.430;True;;
14156;112.0329;90.3145;6919.928;0.000;0.0000;0.0000;0.000;3.9138;0.576376;-0.570528;-0.411805;0.415578;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.440;True;;
14157;112.0330;90.3145;6919.930;0.000;0.0000;0.0000;0.000;3.9125;0.576384;-0.570529;-0.411797;0.415573;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.450;True;;
14158;112.0331;90.3146;6919.934;0.000;0.0000;0.0000;0.000;3.9136;0.576385;-0.570518;-0.411803;0.415581;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.460;True;;
14159;112.0332;90.3145;6919.930;0.000;0.0000;0.0000;0.000;3.9130;0.576381;-0.570531;-0.411801;0.415572;0.23;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.470;True;;
14160;112.0333;90.3145;6919.930;0.000;0.0000;0.0000;0.000;3.9131;0.576382;-0.570530;-0.411803;0.415569;0.23;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.480;True;;
14161;112.0334;90.3145;6919.931;0.000;0.0000;0.0000;0.000;3.9138;0.576381;-0.570526;-0.411807;0.415572;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.490;True;;
14162;112.0335;90.3145;6919.934;0.000;0.0000;0.0000;0.000;3.9129;0.576387;-0.570526;-0.411799;0.415572;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.500;True;;
14163;112.0335;90.3145;6919.936;0.000;0.0000;0.0000;0.000;3.9130;0.576389;-0.570523;-0.411801;0.415572;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.510;True;;
14164;112.0336;90.3145;6919.934;0.000;0.0000;0.0000;0.000;3.9138;0.576383;-0.570524;-0.411805;0.415574;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.520;True;;
14165;112.0337;90.3145;6919.937;0.000;0.0000;0.0000;0.000;3.9140;0.576385;-0.570519;-0.411806;0.415577;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.530;True;;
14166;112.0337;90.3145;6919.938;0.000;0.0000;0.0000;0.000;3.9135;0.576388;-0.570520;-0.411803;0.415574;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.540;True;;
14167;112.0338;90.3145;6919.938;0.000;0.0000;0.0000;0.000;3.9139;0.576386;-0.570520;-0.411804;0.415577;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.550;True;;
14168;112.0339;90.3145;6919.936;0.000;0.0000;0.0000;0.000;3.9136;0.576386;-0.570525;-0.411806;0.415568;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.560;True;;
14169;112.0339;90.3145;6919.936;0.000;0.0000;0.0000;0.000;3.9144;0.576380;-0.570526;-0.411806;0.415576;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.570;True;;
14170;112.0339;90.3145;6919.936;0.000;0.0000;0.0000;0.000;3.9146;0.576379;-0.570525;-0.411807;0.415576;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.580;True;;
14171;112.0339;90.3145;6919.935;0.000;0.0000;0.0000;0.000;3.9147;0.576378;-0.570527;-0.411808;0.415575;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.590;True;;
14172;112.0340;90.3145;6919.940;0.000;0.0000;0.0000;0.000;3.9137;0.576387;-0.570522;-0.411799;0.415577;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.600;True;;
14173;112.0340;90.3145;6919.936;0.000;0.0000;0.0000;0.000;3.9146;0.576377;-0.570529;-0.411806;0.415574;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.610;True;;
14174;112.0340;90.3146;6919.939;0.000;0.0000;0.0000;0.000;3.9138;0.576384;-0.570527;-0.411800;0.415574;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.620;True;;
14175;112.0340;90.3145;6919.938;0.000;0.0000;0.0000;0.000;3.9141;0.576379;-0.570529;-0.411799;0.415577;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.630;True;;
14176;112.0340;90.3145;6919.938;0.000;0.0000;0.0000;0.000;3.9148;0.576377;-0.570527;-0.411805;0.415578;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.640;True;;
14177;112.0340;90.3145;6919.940;0.000;0.0000;0.0000;0.000;3.9143;0.576380;-0.570526;-0.411798;0.415582;0.26;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.650;True;;
