  10.802 0.0   -0.101 0.0 
  10.834 0.0   -0.094 0.0 
  10.859 0.0   -0.089 0.0 
  10.889 0.0   -0.083 0.0 
  10.920 0.0   -0.078 0.0 
  10.949 0.0   -0.074 0.0 
  10.979 0.0   -0.069 0.0 
  11.011 0.0   -0.064 0.0 
  11.040 0.0   -0.060 0.0 
  11.071 0.0   -0.055 0.0 
  11.101 0.0   -0.049 0.0 
  11.131 0.0   -0.041 0.0 
  11.167 0.0   -0.033 0.0 
  11.193 0.0   -0.023 0.0 
  11.226 0.0   -0.012 0.0 
  11.253 0.0   -0.002 0.0 
  11.284 0.0    0.009 0.0 
  11.317 0.0    0.020 0.0 
  11.344 0.0    0.030 0.0 
  11.374 0.0    0.041 0.0 
  11.408 0.0    0.051 0.0 
  11.439 0.0    0.058 0.0 
  11.469 0.0    0.065 0.0 
  11.495 0.0    0.070 0.0 
  11.525 0.0    0.075 0.0 
  11.556 0.0    0.079 0.0 
  11.589 0.0    0.083 0.0 
  11.616 0.0    0.088 0.0 
  11.650 0.0    0.093 0.0 
  11.677 0.0    0.099 0.0 
  11.707 0.0    0.104 0.0 
  11.742 0.0    0.110 0.0 
  11.771 0.0    0.115 0.0 
  11.802 0.0    0.120 0.0 
  11.832 0.0    0.125 0.0 
  11.858 0.0    0.130 0.0 
  11.889 0.0    0.134 0.0 
  11.922 0.0    0.138 0.0 
  11.953 0.0    0.143 0.0 
  11.980 0.0    0.146 0.0 
  12.009 0.0    0.149 0.0 
  12.040 0.0    0.152 0.0 
  12.070 0.0    0.155 0.0 
  12.101 0.0    0.157 0.0 
  12.131 0.0    0.159 0.0 
  12.165 0.0    0.161 0.0 
  12.192 0.0    0.162 0.0 
  12.226 0.0    0.163 0.0 
  12.255 0.0    0.164 0.0 
  12.286 0.0    0.163 0.0 
  12.316 0.0    0.162 0.0 
  12.346 0.0    0.161 0.0 
  12.373 0.0    0.160 0.0 
  12.407 0.0    0.159 0.0 
  12.434 0.0    0.157 0.0 
  12.465 0.0    0.156 0.0 
  12.497 0.0    0.154 0.0 
  12.524 0.0    0.152 0.0 
  12.558 0.0    0.149 0.0 
  12.588 0.0    0.147 0.0 
  12.619 0.0    0.144 0.0 
  12.648 0.0    0.141 0.0 
  12.678 0.0    0.137 0.0 
  12.707 0.0    0.134 0.0 
  12.739 0.0    0.128 0.0 
  12.770 0.0    0.122 0.0 
  12.801 0.0    0.115 0.0 
  12.826 0.0    0.107 0.0 
  12.857 0.0    0.100 0.0 
  12.891 0.0    0.092 0.0 
  12.922 0.0    0.085 0.0 
  12.950 0.0    0.077 0.0 
  12.981 0.0    0.069 0.0 
  13.007 0.0    0.061 0.0 
  13.042 0.0    0.052 0.0 
  13.068 0.0    0.043 0.0 
  13.098 0.0    0.034 0.0 
  13.132 0.0    0.024 0.0 
  13.159 0.0    0.015 0.0 
  13.194 0.0    0.005 0.0 
  13.223 0.0   -0.004 0.0 
  13.255 0.0   -0.014 0.0 
  13.280 0.0   -0.024 0.0 
  13.310 0.0   -0.033 0.0 
  13.345 0.0   -0.040 0.0 
  13.375 0.0   -0.048 0.0 
  13.401 0.0   -0.053 0.0 
  13.435 0.0   -0.058 0.0 
  13.461 0.0   -0.063 0.0 
  13.492 0.0   -0.069 0.0 
  13.523 0.0   -0.074 0.0 
  13.555 0.0   -0.079 0.0 
  13.582 0.0   -0.084 0.0 
  13.612 0.0   -0.089 0.0 
  13.643 0.0   -0.096 0.0 
  13.677 0.0   -0.101 0.0 
  13.704 0.0   -0.107 0.0 
  13.733 0.0   -0.112 0.0 
  13.764 0.0   -0.117 0.0 
  13.797 0.0   -0.122 0.0 
  13.824 0.0   -0.127 0.0 
  13.855 0.0   -0.131 0.0 
  13.888 0.0   -0.136 0.0 
  13.918 0.0   -0.140 0.0 
  13.950 0.0   -0.143 0.0 
  13.975 0.0   -0.146 0.0 
  14.006 0.0   -0.149 0.0 
  14.040 0.0   -0.151 0.0 
  14.070 0.0   -0.154 0.0 
  14.096 0.0   -0.156 0.0 
  14.126 0.0   -0.158 0.0 
  14.157 0.0   -0.160 0.0 
  14.188 0.0   -0.161 0.0 
  14.221 0.0   -0.162 0.0 
  14.247 0.0   -0.162 0.0 
  14.278 0.0   -0.163 0.0 
  14.311 0.0   -0.161 0.0 
  14.341 0.0   -0.159 0.0 
  14.369 0.0   -0.157 0.0 
  14.402 0.0   -0.154 0.0 
  14.429 0.0   -0.152 0.0 
  14.459 0.0   -0.149 0.0 
  14.494 0.0   -0.146 0.0 
  14.519 0.0   -0.142 0.0 
  14.554 0.0   -0.138 0.0 
  14.585 0.0   -0.135 0.0 
  14.611 0.0   -0.132 0.0 
