Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
6380;111.1934;90.9844;2254.018;0.000;0.0000;0.0000;0.000;6.3140;0.575164;-0.572754;-0.411480;0.414515;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.060;True;;
6381;111.1921;90.9847;2253.285;0.000;0.0000;0.0000;0.000;6.3061;0.575213;-0.572686;-0.411455;0.414566;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.070;True;;
6382;111.1909;90.9852;2252.547;0.000;0.0000;0.0000;0.000;6.2982;0.575264;-0.572615;-0.411430;0.414618;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.080;True;;
6383;111.1895;90.9855;2251.800;0.000;0.0000;0.0000;0.000;6.2911;0.575309;-0.572557;-0.411406;0.414661;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.090;True;;
6384;111.1882;90.9860;2251.051;0.000;0.0000;0.0000;0.000;6.2840;0.575355;-0.572496;-0.411382;0.414705;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.100;True;;
6385;111.1868;90.9863;2250.300;0.000;0.0000;0.0000;0.000;6.2761;0.575406;-0.572428;-0.411358;0.414751;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.110;True;;
6386;111.1853;90.9868;2249.549;0.000;0.0000;0.0000;0.000;6.2679;0.575457;-0.572354;-0.411334;0.414806;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.120;True;;
6387;111.1838;90.9872;2248.793;0.000;0.0000;0.0000;0.000;6.2592;0.575513;-0.572287;-0.411304;0.414851;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.130;True;;
6388;111.1822;90.9875;2248.033;0.000;0.0000;0.0000;0.000;6.2511;0.575565;-0.572220;-0.411278;0.414897;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.140;True;;
6389;111.1806;90.9879;2247.273;0.000;0.0000;0.0000;0.000;6.2425;0.575619;-0.572150;-0.411250;0.414947;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.150;True;;
6390;111.1789;90.9883;2246.508;0.000;0.0000;0.0000;0.000;6.2343;0.575670;-0.572079;-0.411226;0.414997;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.160;True;;
6391;111.1772;90.9886;2245.740;0.000;0.0000;0.0000;0.000;6.2264;0.575723;-0.572007;-0.411207;0.415042;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.170;True;;
6392;111.1754;90.9890;2244.976;0.000;0.0000;0.0000;0.000;6.2169;0.575781;-0.571929;-0.411177;0.415099;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.180;True;;
6393;111.1734;90.9894;2244.205;0.000;0.0000;0.0000;0.000;6.2090;0.575829;-0.571851;-0.411160;0.415155;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.190;True;;
6394;111.1716;90.9898;2243.434;0.000;0.0000;0.0000;0.000;6.1995;0.575891;-0.571783;-0.411127;0.415197;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.200;True;;
6395;111.1697;90.9901;2242.666;0.000;0.0000;0.0000;0.000;6.1898;0.575951;-0.571698;-0.411102;0.415255;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.210;True;;
6396;111.1676;90.9905;2241.895;0.000;0.0000;0.0000;0.000;6.1797;0.576014;-0.571626;-0.411066;0.415303;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.220;True;;
6397;111.1656;90.9909;2241.119;0.000;0.0000;0.0000;0.000;6.1709;0.576070;-0.571552;-0.411041;0.415351;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.230;True;;
6398;111.1635;90.9912;2240.348;0.000;0.0000;0.0000;0.000;6.1606;0.576136;-0.571468;-0.411014;0.415403;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.240;True;;
6399;111.1613;90.9916;2239.576;0.000;0.0000;0.0000;0.000;6.1504;0.576199;-0.571387;-0.410983;0.415457;0.39;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.250;True;;
